2018-06-01 12:16:45 status unpacked libxau6:i386 1:1.0.8-1
2018-06-01 12:16:45 install libbsd0:i386 <none> 0.8.7-1
2018-06-01 12:16:45 status half-installed libbsd0:i386 0.8.7-1
2018-06-01 12:16:45 status unpacked libbsd0:i386 0.8.7-1
2018-06-01 12:16:45 status unpacked libbsd0:i386 0.8.7-1
2018-06-01 12:16:45 install libxdmcp6:i386 <none> 1:1.1.2-3
2018-06-01 12:16:45 status half-installed libxdmcp6:i386 1:1.1.2-3
2018-06-01 12:16:45 status unpacked libxdmcp6:i386 1:1.1.2-3
2018-06-01 12:16:45 status unpacked libxdmcp6:i386 1:1.1.2-3
2018-06-01 12:16:45 install libxcb1:i386 <none> 1.13-1
2018-06-01 12:16:45 status half-installed libxcb1:i386 1.13-1
2018-06-01 12:16:45 status unpacked libxcb1:i386 1.13-1
2018-06-01 12:16:45 status unpacked libxcb1:i386 1.13-1
2018-06-01 12:16:45 install libx11-6:i386 <none> 2:1.6.4-3
2018-06-01 12:16:45 status half-installed libx11-6:i386 2:1.6.4-3
2018-06-01 12:16:46 status unpacked libx11-6:i386 2:1.6.4-3
2018-06-01 12:16:46 status unpacked libx11-6:i386 2:1.6.4-3
2018-06-01 12:16:46 install libxext6:i386 <none> 2:1.3.3-1
2018-06-01 12:16:46 status half-installed libxext6:i386 2:1.3.3-1
2018-06-01 12:16:46 status unpacked libxext6:i386 2:1.3.3-1
2018-06-01 12:16:46 status unpacked libxext6:i386 2:1.3.3-1
2018-06-01 12:16:46 install libstdc++6:i386 <none> 8-20180414-1ubuntu2
2018-06-01 12:16:46 status half-installed libstdc++6:i386 8-20180414-1ubuntu2
2018-06-01 12:16:46 status unpacked libstdc++6:i386 8-20180414-1ubuntu2
2018-06-01 12:16:46 status unpacked libstdc++6:i386 8-20180414-1ubuntu2
2018-06-01 12:16:46 install libc6-i386:amd64 <none> 2.27-3ubuntu1
2018-06-01 12:16:46 status half-installed libc6-i386:amd64 2.27-3ubuntu1
2018-06-01 12:16:46 status unpacked libc6-i386:amd64 2.27-3ubuntu1
2018-06-01 12:16:46 status unpacked libc6-i386:amd64 2.27-3ubuntu1
2018-06-01 12:16:46 install lib32tinfo5:amd64 <none> 6.1-1ubuntu1
2018-06-01 12:16:46 status half-installed lib32tinfo5:amd64 6.1-1ubuntu1
2018-06-01 12:16:46 status unpacked lib32tinfo5:amd64 6.1-1ubuntu1
2018-06-01 12:16:46 status unpacked lib32tinfo5:amd64 6.1-1ubuntu1
2018-06-01 12:16:46 install lib32ncurses5:amd64 <none> 6.1-1ubuntu1
2018-06-01 12:16:46 status half-installed lib32ncurses5:amd64 6.1-1ubuntu1
2018-06-01 12:16:46 status unpacked lib32ncurses5:amd64 6.1-1ubuntu1
2018-06-01 12:16:46 status unpacked lib32ncurses5:amd64 6.1-1ubuntu1
2018-06-01 12:16:46 install lib32z1:amd64 <none> 1:1.2.11.dfsg-0ubuntu2
